Washington,33
Delaware,3
Wisconsin,22
West Virginia,7
Hawaii,6
Florida,100
Wyoming,0
New Jersey,30
New Mexico,17
Texas,2582
Louisiana,79
North Carolina,55
North Dakota,4
Nebraska,9
Tennessee,36
New York,78
Pennsylvania,49
Alaska,6
Nevada,24
New Hampshire,5
Virginia,16
Colorado,39
California,240
Alabama,92
Arkansas,28
Vermont,1
Illinois,60
Georgia,66
Indiana,26
Iowa,7
Oklahoma,116
Arizona,53
Idaho,0
Connecticut,5
Maine,0
Maryland,35
Massachusetts,34
Ohio,76
Utah,48
Missouri,25
Minnesota,6
Michigan,52
Rhode Island,3
Kansas,27
Montana,1
Mississippi,33
South Carolina,20
Kentucky,26
Oregon,21
South Dakota,1
